"Job Title","Company","Location","Posted Via","Source Site","Date Posted","Job URL","Remote","Salary","Job Type","Description"
"Senior Frontend Developer","Safiyo","","","linkedin","N/A","https://www.linkedin.com/jobs/view/4367468917",False,"","N/A","N/A..."
"Senior Full Stack Engineer","Priority Soft","","","linkedin","2026-01-28","https://www.linkedin.com/jobs/view/4356194277",False,"","N/A","N/A..."
"Senior Full-Stack Software Engineer, Applied AI","Jobgether","","","linkedin","2026-01-27","https://www.linkedin.com/jobs/view/4366306838",False,"","N/A","N/A..."
"Senior Full-Stack Software Engineer, CMS","Jobgether","","","linkedin","2026-01-28","https://www.linkedin.com/jobs/view/4366711157",False,"","N/A","N/A..."
"Senior Fullstack Engineer (Remote from Nigeria)","Jobgether","","","linkedin","2026-01-26","https://www.linkedin.com/jobs/view/4366213239",True,"","N/A","N/A..."
"Flutter Mobile App Developer (Fullstack)","Civic Innovation Lab","Abuja, FC, NG","","indeed","2026-01-25","https://ng.indeed.com/viewjob?jk=307011ae01eec212",False,"","temporary, parttime, contract","**Brandz Digital** is a full-service integrated brand storytelling agency in Abuja that harnesses the power of creative media, digital marketing, storytelling, and technology to create memorable digital experiences that support business growth. At Brandz Digital, we strongly believe that every brand has a unique story that can be amplified across the digital space through strategic-driven content that leads to increased brand visibility and conversions.

From mobile app to web design and development, into content strategy and curation, search engine optimization (SEO), digital marketing, Integrated brand campaign development, visual & interactive design, and video productions, we provide end-to-end solutions that give brands a compelling digital presence.'

**Job Brief**

We are looking for a qualified flutter mobile app developer to join our tech and development team. Someone with experience building cross-platform applications **and can integrate AI functionalities** into mobile products. The ideal candidate is not just a coder, but someone who understands user experience and has an innovative mindset for integrating AI tools into an app.

As a Flutter Mobile developer, you’ll collaborate with our internal teams to develop functional mobile applications, while working in a fast-paced environment. Ultimately, your contract will be project-based and you should be able to design and build the next generation of mobile applications.

If you’re passionate about usable everyday tech products, mobile app platforms and translating code into user-friendly apps, we would like to meet you.

**Job Responsibilities**

* Continuously discover, evaluate, and implement new technologies to maximize development efficiency
* Support the entire application lifecycle (concept, design, test, release, and support)
* Integrate AI/ML features (such as GPT APIs, recommendation engines, or vision-based tools)
* Produce fully functional mobile applications writing clean code
* Gather specific requirements and suggest solutions
* Design interfaces to improve user experience
* Liaise with the Product development team to plan new features
* Ensure new and legacy applications meet quality standards
* Research and suggest new mobile products, applications and protocols
* Stay up-to-date with new technology trends

**Job Requirements**

* Minimum of 3years+ proven work experience as a Mobile app developer
* Demonstrable portfolio of released applications on the App Store or the Android market
* In-depth knowledge of; ReactJS, HTML and CSS/SCSS, Node.js/Express TypeScript, PostgreSQL Database, Laravel
* Experience deploying applications on AWS, Digital Ocean & OVH
* Solid understanding of REST APIs, Firebase, and backend integration.
* Experience working with AI tools such as OpenAI API, TensorFlow Lite, Dialogflow, or similar.
* Experience with third-party libraries and APIs
* Familiarity with OOP design principles
* Excellent analytical skills with a good problem-solving attitude
* Ability to perform in a team environment
* Ability to meet up with strict deadlines
* BSc degree in Computer Science, Computer Engineering, Systems Engineering or relevant field
* Additional knowledge of Artificial Intelligence might give you an added advantage.

If you feel you are the right candidate for this role, send your CV, Cover Letter and links to your app portfolio to careers@brandz.digital

Job Types: Part-time, Temporary, Contract  
Contract length: 3 months

Pay: ₦250,000.00 - ₦350,000.00 per month

Application Question(s):

* Add Portfolio..."
"Frontend Developer","Walex Biz Group","Abuja, FC, NG","","indeed","2026-01-27","https://ng.indeed.com/viewjob?jk=8f9dcbb70a3c5c2d",False,"","contract","### **Job summary**

We are seeking a Front End Developer. You'll design and implement responsive user interfaces, collaborating with cross-functional teams to enhance user experiences. Proficiency in HTML, CSS, and JavaScript frameworks is required.

Min Qualification: HND Experience Level: Entry level Experience Length: 2 years

### **Job descriptions & requirements**

**Responsibilities:**

  

* Determining the structure and design of web pages.
* Ensuring user experience determines design choices.
* Developing features to enhance the user experience.
* Striking a balance between functional and aesthetic design.
* Actively participate in the overall application lifecycle.
* Focus on coding and debugging.
* Collaborate with front-end developers.
* Define and communicate technical and design requirements.
* Build a high-quality reusable code that can be used in the future.
* Create sustainable and functional web applications with clean code.
* Learn about new technologies and stay up-to-date with current best practices.
* Conduct UI tests and optimize performance.
* Train, help, and support other team members.
* Ensuring web design is optimized for smartphones.
* Building reusable code for future use.
* Optimizing web pages for maximum speed and scalability.
* Utilizing a variety of markup languages to write web pages.
* Maintaining brand consistency throughout the design.

  

**Requirements:**

* Must have a minimum of 2-3 years experience
* Proficiency in HTML, CSS, and JavaScript.
* Knowledge of React.js, Next.js, Tailwind CSS, and React Native is an advantage.
* Strong understanding of the web development cycle and programming techniques
* Must be available for the on-site job.
* Must be an excellent team player.
* Must reside in Abuja...."
"Mobile Front-End UI/UX Designer","EmpowerHer Tech Foundation","Abuja, FC, NG","","indeed","2026-01-29","https://ng.indeed.com/viewjob?jk=ad1c48b81a6b48c8",False,"","fulltime","Job Summary

The Mobile Front-End UI/UX Designer will be responsible for designing intuitive, visually appealing, and user-centered mobile application interfaces. The role focuses on creating seamless user experiences, translating product requirements into functional designs, and collaborating closely with developers to ensure accurate implementation across Android and iOS platforms.

**Key Responsibilities**

* Design user-friendly mobile app interfaces with a strong focus on usability and aesthetics.
* Create wireframes, user flows, mockups, and interactive prototypes.
* Conduct user research and usability testing to inform design decisions.
* Translate product requirements into intuitive UI/UX solutions.
* Collaborate with mobile developers to ensure pixel-perfect implementation.
* Maintain and evolve the mobile design system and UI components library.
* Ensure consistency of branding, colors, typography, and interaction patterns.
* Optimize designs for performance, accessibility, and responsiveness.
* Iterate designs based on user feedback, analytics, and business goals.
* Stay updated on mobile design trends and platform guidelines (iOS & Android).

**Selection Criteria**

* 2–5 years experience in mobile UI/UX design.
* Strong portfolio showcasing mobile app designs.
* Proficiency in Figma, Adobe XD, Sketch, or similar tools.
* Solid understanding of iOS Human Interface Guidelines and Material Design.
* Experience working with developers on production apps.
* Knowledge of UX research, usability testing, and design thinking.
* Strong attention to detail and visual storytelling skills.
* B.Sc/HND in Design, Computer Science, or related field

Job Type: Full-time

Pay: ₦300,000.00 - ₦350,000.00 per month..."
"JUNIOR WEB/MOBILE DEVELOPER","GN128 Solutions","Ikeja, LA, NG","","indeed","2026-01-26","https://ng.indeed.com/viewjob?jk=032f165e61298302",False,"","fulltime","JUNIOR WEB/MOBILE DEVELOPER

Company Description

We are a business based in Ikeja currently seeking a motivated and detail-oriented Junior Web/Mobile Developer to join our team. This entry-level role is ideal for someone who is passionate about web & mobile technologies, eager to learn, and ready to grow their skills in front-end and back-end development. You will work closely with senior developers and designers to build, maintain, and improve web applications that deliver excellent user experiences.

You will be required to work from our office in Ikeja Mon - Fri.

Role Description

This is a full-time on-site role for a Junior Web/Mobile Developer with both front-end and back-end skills to work from our offices in Ikeja. The post holder will be expected to be a quick learner to get up to speed working with the development team to develop both front-end and back-end functionalities of our tech products and supporting our applications.

Location: Ikeja, Lagos - Nigeria

Core Responsibilities and Duties

* Assist in developing and maintaining web and mobile applications
* Work with senior developers to implement new features and fix bugs
* Build responsive user interfaces for web and mobile
* Integrate APIs and backend services
* Participate in code reviews and team discussions
* Learn and apply best practices in software development
* Deploying websites into production
* CPanel Administration
* SSL Implementation & Website Security
* Optimizing developed features for maximum speed and scalability;
* Writing clean, readable, and testable code;
* Test, debug, and optimize applications for performance and usability
* Meet team deadlines;

Job Requirements

* Excellent Understanding web development life cycle;
* Experience with UI/UX Design;
* Excellent knowledge of REACT, HTML, CSS, Java and web development tools;
* Core working knowledge of PHP and LARAVEL;
* Database Design & Development, MYSQL/MSSQL;
* Search Engine Optimization;
* Ability to learn new concepts quickly.
* Flexible approach, self-motivated and organised;

Person Specification

* Good interpersonal skills, able to communicate in a friendly, open and constructive manner;
* Able to work on own initiative with minimal supervision;
* Ability to pay attention to details & produce work of a high standard;
* Ability to work as a team player with the team;
* Willingness and ability to learn & understand new concepts quickly;
* Passion for building software and improving skills
* Flexible approach, self-motivated and organised

Experience:

* Minimum of 12 months professional experience
* Flexible work approach, self-motivated and organised

Salary

* Range N 180,000.00 - N 250,000.00

Note

Only candidates that live in Lagos and within 30mins commuting of Ikeja would be considered

How to Apply:

Interested and qualified candidates should send their CV to recruit@gn128.com

Job Type: Full-time

Pay: ₦180,000.00 - ₦250,000.00 per month..."
"Frontend & Mobile Developer","Mactavis Technologies Ltd.","Lagos, LA, NG","","indeed","2026-01-30","https://ng.indeed.com/viewjob?jk=a62bb8b18f24cc6e",True,"","fulltime","We’re looking for a skilled and motivated **Frontend & Mobile Developer** to join our team. You’ll be responsible for building and maintaining mobile and web applications that are efficient, user-friendly, and visually appealing. This role requires someone who is confident in working with React, React Native, JavaScript, and modern frontend technologies, and who enjoys solving real problems through clean, well-structured code. You’ll work closely with other developers, designers, and product managers throughout the development process, from ideation to deployment.

Employment Type: Full Time (Remote)

Experience Level: Intermediate

**Job Description/Requirements**

Responsibilities:

* Build and maintain high-quality mobile and web applications
* Collaborate with team members to define and implement features
* Write clean, efficient, and reusable code based on provided specifications
* Ensure applications perform well across devices and platforms
* Identify and fix bugs, performance issues, and usability problems
* Stay informed about industry trends and new technologies
* Integrate APIs and third-party services
* Create technical documentation for features and components
* Participate in team stand-ups and code reviews
* Provide guidance and mentorship to junior developers when required

Requirements:

* 3+ years of experience as a mobile and/or frontend developer
* Strong knowledge of JavaScript and React Native
* Experience working with React, Next.js, Nuxt.js, and similar frontend frameworks
* Solid understanding of HTML, CSS, and responsive design
* At least 2–3 published mobile apps (live on App Store or Google Play)
* Experience consuming and integrating REST APIs
* Familiarity with Git for version control
* Good problem-solving and debugging skills
* Strong attention to detail and ability to follow design specifications
* Comfortable working in a collaborative, remote team environment

Job Type: Full-time

Pay: ₦300,000.00 - ₦350,000.00 per month..."
